word,difficulty,frequency,defined_in,1gram-score,is_profane,level
abet,9,1.97,tw/wapi,0.38312829525483305,False,hard
able,1,5.25,tw/wapi,0.476274165202109,False,hard
ably,1,2.12,tw/wapi,0.2882249560632689,False,hard
abut,9,2.6,tw/wapi,0.343585237258348,False,hard
acer,6,-1,tw/wapi,0.2592267135325132,False,hard
ache,7,3.65,tw/wapi,0.38927943760984185,False,hard
achy,10,2.2,tw/wapi,0.20123022847100178,False,hard
acid,2,3.96,tw/wapi,0.34358523725834794,False,hard
acme,8,2.24,tw/wapi,0.46045694200351495,False,hard
acne,4,2.98,tw/wapi,0.5650263620386644,False,medium
acre,4,3.23,tw/wapi,0.5615114235500879,False,medium
adze,10,-1,tw/wapi,0.38137082601054484,False,hard
aeon,10,2.72,tw/wapi,0.45606326889279447,False,hard
afro,8,3.28,tw/wapi,0.29789103690685415,False,hard
aged,3,3.87,tw/wapi,0.31195079086115995,False,hard
agio,10,-1,tw/wapi,0.2548330404217926,False,hard
ague,10,1.6,tw/wapi,0.4402460456942004,False,hard
ahem,8,3.84,tw/wapi,0.30667838312829526,False,hard
aide,5,3.06,tw/wapi,0.6379613356766258,False,medium
aids,2,3.46,tw/wapi,0.6098418277680141,False,medium
acts,2,4.17,tw/wapi,0.44288224956063277,False,hard
airy,7,2.75,tw/wapi,0.5834797891036907,False,medium
akin,6,2.85,tw/wapi,0.30931458699472764,False,hard
alky,10,2.24,tw/wapi,0.2970123022847101,False,hard
alms,8,3.19,tw/wapi,0.4991212653778559,False,hard
aloe,7,2.56,tw/wapi,0.5369068541300528,False,medium
alps,6,3.34,tw/wapi,0.46748681898066785,False,hard
also,1,5.58,tw/wapi,0.3101933216168717,False,hard
alto,6,2.96,tw/wapi,0.29964850615114236,False,hard
alum,8,2.45,tw/wapi,0.30052724077328646,False,hard
amen,8,4.47,tw/wapi,0.29964850615114236,False,hard
amex,9,2.17,tw/wapi,0.21792618629173988,False,hard
airs,1,3.19,tw/wapi,0.7434094903339192,False,easy
amok,8,2.81,tw/wapi,0.2882249560632689,False,hard
anew,7,3.21,tw/wapi,0.257469244288225,False,hard
ante,6,3.17,tw/wapi,0.48154657293497366,False,hard
anti,1,4.33,tw/wapi,0.218804920913884,False,hard
anus,6,3.4,tw/wapi,0.4411247803163445,False,hard
apex,6,2.87,tw/wapi,0.23198594024604574,False,hard
apse,10,1.9,tw/wapi,0.48330404217926193,False,hard
amyl,10,2.4,tw/wapi,0.1704745166959578,False,hard
arch,4,3.55,tw/wapi,0.29613356766256593,False,hard
ares,8,3.48,tw/wapi,0.5448154657293498,False,medium
arid,6,2.69,tw/wapi,0.4182776801405976,False,hard
army,3,4.93,tw/wapi,0.3471001757469244,False,hard
arms,2,4.79,tw/wapi,0.507029876977153,False,medium
arse,6,4.1,tw/wapi,0.5562390158172232,True,medium
arty,8,2.89,tw/wapi,0.3576449912126538,False,hard
arts,1,4.19,tw/wapi,0.5175746924428822,False,medium
apis,9,1.73,tw/wapi,0.4850615114235502,False,hard
ashy,4,2.17,tw/wapi,0.1836555360281195,False,hard
atom,4,3.55,tw/wapi,0.2381370826010545,False,hard
atop,6,2.96,tw/wapi,0.249560632688928,False,hard
aunt,5,4.79,tw/wapi,0.6274165202108963,False,medium
auto,2,3.9,tw/wapi,0.39455184534270654,False,hard
aver,8,2.08,tw/wapi,0.24077328646748683,False,hard
avid,6,2.68,tw/wapi,0.3251318101933216,False,hard
avow,10,1.6,tw/wapi,0.20035149384885764,False,hard
awed,5,2.56,tw/wapi,0.3251318101933216,False,hard
awol,10,3.12,tw/wapi,0.24692442882249563,False,hard
awry,8,2.69,tw/wapi,0.36818980667838314,False,hard
axil,10,-1,tw/wapi,0.27680140597539543,False,hard
axle,6,2.81,tw/wapi,0.4753954305799648,False,hard
axon,8,2.02,tw/wapi,0.2671353251318102,False,hard
back,1,6.27,tw/wapi,0.6634446397188051,False,easy
auld,9,2.87,tw/wapi,0.4859402460456942,False,hard
bade,1,2.27,tw/wapi,0.8075571177504395,False,easy
baht,8,3.56,tw/wapi,0.6695957820738138,False,easy
bail,5,4.13,tw/wapi,0.6731107205623903,False,easy
bait,5,3.99,tw/wapi,0.7917398945518455,False,easy
bake,6,3.74,tw/wapi,0.7978910369068543,False,easy
bald,4,4.04,tw/wapi,0.7038664323374341,False,easy
bale,8,2.54,tw/wapi,0.8717047451669597,False,easy
balk,9,2.08,tw/wapi,0.702108963093146,False,easy
balm,7,3.07,tw/wapi,0.6467486818980669,False,medium
band,1,4.8,tw/wapi,0.7768014059753955,False,easy
bane,8,2.74,tw/wapi,0.944639718804921,False,easy
bang,3,4.46,tw/wapi,0.7126537785588752,False,easy
bank,1,4.95,tw/wapi,0.7750439367311073,False,easy
bard,8,2.93,tw/wapi,0.773286467486819,False,easy
bare,4,3.98,tw/wapi,0.9411247803163445,False,easy
barf,9,3.13,tw/wapi,0.6766256590509667,False,easy
bark,5,3.87,tw/wapi,0.7715289982425309,False,easy
barn,5,4,tw/wapi,0.7548330404217927,False,easy
base,1,4.55,tw/wapi,0.8611599297012302,False,easy
bash,5,3.6,tw/wapi,0.6291739894551845,False,medium
bask,8,2.73,tw/wapi,0.6915641476274166,False,easy
bath,3,4.55,tw/wapi,0.6186291739894554,False,medium
bawl,10,2.49,tw/wapi,0.5808435852372584,False,medium
bead,5,3.1,tw/wapi,0.6282952548330404,False,medium
beak,8,3.25,tw/wapi,0.6265377855887523,False,medium
barm,10,-1,tw/wapi,0.7161687170474518,False,easy
beam,3,3.89,tw/wapi,0.5711775043936732,False,medium
bars,1,4.22,tw/wapi,0.9130052724077329,False,easy
bean,4,3.92,tw/wapi,0.6098418277680141,False,medium
bear,2,4.83,tw/wapi,0.5571177504393674,False,medium
beat,2,5.15,tw/wapi,0.6968365553602812,False,easy
beau,8,3.46,tw/wapi,0.5193321616871704,False,medium
beck,7,3.62,tw/wapi,0.5105448154657295,False,medium
belt,3,4.34,tw/wapi,0.6195079086115993,False,medium
bats,4,3.67,tw/wapi,0.8224956063268893,False,easy
bend,5,4.14,tw/wapi,0.6239015817223199,False,medium
bent,4,3.96,tw/wapi,0.6924428822495606,False,easy
berg,7,3.2,tw/wapi,0.5562390158172232,False,medium
berk,10,2.74,tw/wapi,0.6186291739894553,False,medium
berm,9,2.45,tw/wapi,0.5632688927943762,False,medium
bern,9,2.85,tw/wapi,0.6019332161687171,False,medium
best,1,5.61,tw/wapi,0.60896309314587,False,medium
beta,2,3.67,tw/wapi,0.4551845342706503,False,hard
bevy,9,2.2,tw/wapi,0.4481546572934974,False,hard
bias,3,3.08,tw/wapi,0.805799648506151,False,easy
bide,9,2.69,tw/wapi,0.6924428822495606,False,easy
bier,8,2.36,tw/wapi,0.523725834797891,False,medium
bike,3,4.61,tw/wapi,0.6827768014059755,False,easy
bile,6,2.85,tw/wapi,0.7565905096660809,False,easy
bilk,10,1.73,tw/wapi,0.5869947275922671,False,medium
bind,4,3.61,tw/wapi,0.6616871704745166,False,easy
bird,2,4.67,tw/wapi,0.6581722319859402,False,easy
byre,10,1.6,tw/wapi,0.6133567662565905,False,medium
birl,10,-1,tw/wapi,0.6080843585237258,False,medium
bite,4,4.63,tw/wapi,0.7355008787346222,False,easy
byte,3,2.08,tw/wapi,0.522847100175747,False,medium
blah,4,4.18,tw/wapi,0.45869947275922673,False,hard
blip,8,2.84,tw/wapi,0.4191564147627417,False,hard
bloc,6,2.66,tw/wapi,0.31898066783831286,False,hard
blot,6,2.74,tw/wapi,0.492091388400703,False,hard
blow,2,4.91,tw/wapi,0.3400702987697716,False,hard
blue,1,4.97,tw/wapi,0.5799648506151144,False,medium
blur,6,3.35,tw/wapi,0.3409490333919157,False,hard
boar,7,3.52,tw/wapi,0.6572934973637963,False,easy
boat,2,4.93,tw/wapi,0.7970123022847101,False,easy
bode,8,2.7,tw/wapi,0.7548330404217928,False,easy
body,1,5.36,tw/wapi,0.5667838312829526,False,medium
boer,10,2.52,tw/wapi,0.5861159929701231,False,medium
bogy,10,1.74,tw/wapi,0.5650263620386643,False,medium
boil,5,3.75,tw/wapi,0.6203866432337434,False,medium
bleu,8,2.77,tw/wapi,0.34270650263620395,False,hard
bold,3,3.86,tw/wapi,0.6511423550087873,False,easy
bole,10,2.12,tw/wapi,0.8189806678383128,False,easy
bolt,5,3.75,tw/wapi,0.7196836555360281,False,easy
bond,3,4.27,tw/wapi,0.7240773286467487,False,easy
bone,3,4.45,tw/wapi,0.8919156414762741,False,easy
bong,8,3.87,tw/wapi,0.6599297012302285,False,easy
bony,8,3.05,tw/wapi,0.7038664323374341,False,easy
bonk,10,2.6,tw/wapi,0.7223198594024605,False,easy
bore,4,3.95,tw/wapi,0.8884007029876978,False,easy
born,1,5.07,tw/wapi,0.7021089630931459,False,easy
bosh,10,2.43,tw/wapi,0.5764499121265378,False,medium
both,1,5.47,tw/wapi,0.5659050966608085,False,medium
bout,5,4.06,tw/wapi,0.6862917398945518,False,easy
bowl,3,4.26,tw/wapi,0.5281195079086115,False,medium
boxy,1,1.73,tw/wapi,0.5289982425307557,False,medium
brad,7,4.34,tw/wapi,0.530755711775044,False,medium
brag,7,3.48,tw/wapi,0.46660808435852374,False,hard
bray,10,2.57,tw/wapi,0.5105448154657294,False,medium
bran,8,2.85,tw/wapi,0.5123022847100176,False,medium
brat,8,4.01,tw/wapi,0.5992970123022847,False,medium
brew,6,3.43,tw/wapi,0.3760984182776802,False,hard
brie,9,3.12,tw/wapi,0.6405975395430581,False,medium
brig,8,2.99,tw/wapi,0.40861159929701235,False,hard
brim,8,2.68,tw/wapi,0.41564147627416526,False,hard
brio,9,1.9,tw/wapi,0.4024604569420036,False,hard
brit,9,3.16,tw/wapi,0.5413005272407734,False,medium
brow,6,3.26,tw/wapi,0.3479789103690686,False,hard
brut,10,2.2,tw/wapi,0.48857644991212656,False,hard
buck,5,4.25,tw/wapi,0.5000000000000001,False,medium
